transaction_id,grant_no,cost_center,program_area,category,fiscal_year,quarter,budget_allocated,actual_expenditure,execution_rate,variance,status,batch_id
FIN-100001,ONRD-2019-USEA-00001,ONR-Corporate,Undersea,Facilities,2019,Q1,592418.49,438090.64,73.9,154327.85,Closed,seed-initial-2026
FIN-100002,ONRD-2019-USEA-00001,ONR-Corporate,Undersea,Equipment,2019,Q4,89266.57,64294.64,72.0,24971.93,Closed,seed-initial-2026
FIN-100003,ONRD-2019-USEA-00001,ONR-Corporate,Undersea,Personnel,2019,Q3,8314.94,8470.71,101.9,-155.77,Closed,seed-initial-2026
FIN-100004,ONRD-2019-BIOT-00002,ONR-Corporate,Biotech,Personnel,2019,Q3,341652.54,270422.01,79.2,71230.53,Closed,seed-initial-2026
FIN-100005,ONRD-2019-BIOT-00002,ONR-Corporate,Biotech,Supplies,2019,Q4,309146.55,249623.99,80.7,59522.56,Closed,seed-initial-2026
FIN-100006,ONRD-2019-BIOT-00002,ONR-Corporate,Biotech,Personnel,2019,Q2,303200.91,276683.17,91.3,26517.74,Closed,seed-initial-2026
FIN-100007,ONRD-2019-AIML-00003,Code-34,AI/ML,Facilities,2019,Q3,115716.82,114515.7,99.0,1201.12,Closed,seed-initial-2026
FIN-100008,ONRD-2019-AIML-00003,Code-34,AI/ML,Travel,2019,Q4,287804.27,211777.07,73.6,76027.2,Closed,seed-initial-2026
FIN-100009,ONRD-2019-AIML-00003,Code-34,AI/ML,Facilities,2019,Q1,1478.91,1127.78,76.3,351.13,Closed,seed-initial-2026
FIN-100010,ONRD-2019-MATL-00004,Code-31,Materials,Other Direct Costs,2019,Q1,49587.36,53279.41,107.4,-3692.05,Closed,seed-initial-2026
FIN-100011,ONRD-2019-MATL-00004,Code-31,Materials,Equipment,2019,Q4,78334.44,76401.22,97.5,1933.22,Closed,seed-initial-2026
FIN-100012,ONRD-2019-MATL-00004,Code-31,Materials,Training,2019,Q2,12078.2,12130.8,100.4,-52.6,Closed,seed-initial-2026
FIN-100013,ONRD-2019-AIML-00005,Code-35,AI/ML,Facilities,2019,Q2,335978.51,253612.05,75.5,82366.46,Closed,seed-initial-2026
FIN-100014,ONRD-2019-AIML-00005,Code-35,AI/ML,Contractors,2019,Q1,210458.27,166436.74,79.1,44021.53,Closed,seed-initial-2026
FIN-100015,ONRD-2019-AIML-00005,Code-35,AI/ML,Contractors,2019,Q2,461563.22,386753.63,83.8,74809.59,Closed,seed-initial-2026
FIN-100016,ONRD-2019-AUTO-00006,Code-32,Autonomy,Contractors,2019,Q2,82652.6,71725.08,86.8,10927.52,Closed,seed-initial-2026
FIN-100017,ONRD-2019-AUTO-00006,Code-32,Autonomy,Supplies,2019,Q4,240867.48,237741.68,98.7,3125.8,Closed,seed-initial-2026
FIN-100018,ONRD-2019-AUTO-00006,Code-32,Autonomy,Other Direct Costs,2019,Q4,219479.93,210030.29,95.7,9449.64,Closed,seed-initial-2026
FIN-100019,ONRD-2019-AIML-00007,Code-31,AI/ML,Supplies,2019,Q2,110789.34,86435.39,78.0,24353.95,Closed,seed-initial-2026
FIN-100020,ONRD-2019-AIML-00007,Code-31,AI/ML,Training,2019,Q4,90687.01,89881.85,99.1,805.16,Closed,seed-initial-2026
FIN-100021,ONRD-2019-AIML-00007,Code-31,AI/ML,Facilities,2019,Q4,117523.65,89488.69,76.1,28034.96,Closed,seed-initial-2026
FIN-100022,ONRD-2019-AUTO-00008,Code-35,Autonomy,Supplies,2019,Q4,714586.08,768480.66,107.5,-53894.58,Closed,seed-initial-2026
FIN-100023,ONRD-2019-AUTO-00008,Code-35,Autonomy,Contractors,2019,Q4,810413.3,687840.23,84.9,122573.07,Closed,seed-initial-2026
FIN-100024,ONRD-2019-AUTO-00008,Code-35,Autonomy,Other Direct Costs,2019,Q2,357000.62,379178.67,106.2,-22178.05,Closed,seed-initial-2026
FIN-100025,ONRD-2019-DEWX-00009,Code-30,Directed Energy,Equipment,2019,Q4,14796.83,11812.85,79.8,2983.98,Closed,seed-initial-2026
FIN-100026,ONRD-2019-DEWX-00009,Code-30,Directed Energy,Equipment,2019,Q1,50567.4,39456.37,78.0,11111.03,Closed,seed-initial-2026
FIN-100027,ONRD-2019-DEWX-00009,Code-30,Directed Energy,Equipment,2019,Q1,38635.77,33811.48,87.5,4824.29,Closed,seed-initial-2026
FIN-100028,ONRD-2019-CYBR-00010,Code-34,Cyber,Travel,2019,Q4,836272.52,681975.93,81.5,154296.59,Closed,seed-initial-2026
FIN-100029,ONRD-2019-CYBR-00010,Code-34,Cyber,Supplies,2019,Q3,349903.66,329079.15,94.0,20824.51,Closed,seed-initial-2026
FIN-100030,ONRD-2019-CYBR-00010,Code-34,Cyber,Training,2019,Q2,2529823.82,1948638.17,77.0,581185.65,Closed,seed-initial-2026
FIN-100031,ONRD-2019-MATL-00011,Code-31,Materials,Other Direct Costs,2019,Q3,1345743.94,1316604.31,97.8,29139.63,Closed,seed-initial-2026
FIN-100032,ONRD-2019-MATL-00011,Code-31,Materials,Travel,2019,Q1,1604439.1,1380581.52,86.0,223857.58,Closed,seed-initial-2026
FIN-100033,ONRD-2019-MATL-00011,Code-31,Materials,Training,2019,Q1,45816.96,39218.89,85.6,6598.07,Closed,seed-initial-2026
FIN-100034,ONRD-2019-QNTM-00012,Code-32,Quantum,Training,2019,Q1,606270.06,503458.94,83.0,102811.12,Closed,seed-initial-2026
FIN-100035,ONRD-2019-QNTM-00012,Code-32,Quantum,Travel,2019,Q2,678421.37,696943.97,102.7,-18522.6,Closed,seed-initial-2026
FIN-100036,ONRD-2019-QNTM-00012,Code-32,Quantum,Other Direct Costs,2019,Q1,87308.58,78380.96,89.8,8927.62,Closed,seed-initial-2026
FIN-100037,ONRD-2019-BIOT-00013,Code-34,Biotech,Supplies,2019,Q2,35199.58,29816.96,84.7,5382.62,Closed,seed-initial-2026
FIN-100038,ONRD-2019-BIOT-00013,Code-34,Biotech,Equipment,2019,Q4,70414.86,72233.54,102.6,-1818.68,Closed,seed-initial-2026
FIN-100039,ONRD-2019-BIOT-00013,Code-34,Biotech,Training,2019,Q2,58385.55,57470.8,98.4,914.75,Closed,seed-initial-2026
FIN-100040,ONRD-2019-DEWX-00014,Code-32,Directed Energy,Facilities,2019,Q3,50530.94,44826.31,88.7,5704.63,Closed,seed-initial-2026
FIN-100041,ONRD-2019-DEWX-00014,Code-32,Directed Energy,Other Direct Costs,2019,Q2,40855.4,43470.68,106.4,-2615.28,Closed,seed-initial-2026
FIN-100042,ONRD-2019-DEWX-00014,Code-32,Directed Energy,Contractors,2019,Q2,55613.66,58588.0,105.3,-2974.34,Closed,seed-initial-2026
FIN-100043,ONRD-2019-AIML-00015,Code-35,AI/ML,Contractors,2019,Q3,19822.25,17841.08,90.0,1981.17,Closed,seed-initial-2026
FIN-100044,ONRD-2019-AIML-00015,Code-35,AI/ML,Equipment,2019,Q3,47633.67,41068.44,86.2,6565.23,Closed,seed-initial-2026
FIN-100045,ONRD-2019-AIML-00015,Code-35,AI/ML,Facilities,2019,Q2,29544.09,30580.3,103.5,-1036.21,Closed,seed-initial-2026
FIN-100046,ONRD-2019-AUTO-00016,Code-30,Autonomy,Personnel,2019,Q3,24218.65,20935.07,86.4,3283.58,Closed,seed-initial-2026
FIN-100047,ONRD-2019-AUTO-00016,Code-30,Autonomy,Travel,2019,Q1,90614.04,78033.61,86.1,12580.43,Closed,seed-initial-2026
FIN-100048,ONRD-2019-AUTO-00016,Code-30,Autonomy,Travel,2019,Q4,27167.31,22193.64,81.7,4973.67,Closed,seed-initial-2026
FIN-100049,ONRD-2019-CYBR-00017,Code-31,Cyber,Training,2019,Q2,54741.59,55096.71,100.6,-355.12,Closed,seed-initial-2026
FIN-100050,ONRD-2019-CYBR-00017,Code-31,Cyber,Training,2019,Q3,62447.93,55952.86,89.6,6495.07,Closed,seed-initial-2026
FIN-100051,ONRD-2019-CYBR-00017,Code-31,Cyber,Training,2019,Q1,58810.49,60849.48,103.5,-2038.99,Closed,seed-initial-2026
FIN-100052,ONRD-2019-MATL-00018,Code-32,Materials,Travel,2019,Q4,121643.24,130789.7,107.5,-9146.46,Closed,seed-initial-2026
FIN-100053,ONRD-2019-MATL-00018,Code-32,Materials,Training,2019,Q1,73881.32,66731.06,90.3,7150.26,Closed,seed-initial-2026
FIN-100054,ONRD-2019-MATL-00018,Code-32,Materials,Contractors,2019,Q4,30475.44,24931.68,81.8,5543.76,Closed,seed-initial-2026
FIN-100055,ONRD-2019-USEA-00019,Code-34,Undersea,Supplies,2019,Q2,161165.35,148224.31,92.0,12941.04,Closed,seed-initial-2026
FIN-100056,ONRD-2019-USEA-00019,Code-34,Undersea,Supplies,2019,Q2,69174.45,65501.67,94.7,3672.78,Closed,seed-initial-2026
FIN-100057,ONRD-2019-USEA-00019,Code-34,Undersea,Facilities,2019,Q1,202660.2,176658.98,87.2,26001.22,Closed,seed-initial-2026
FIN-100058,ONRD-2019-DEWX-00020,Code-32,Directed Energy,Personnel,2019,Q3,252511.18,272511.74,107.9,-20000.56,Closed,seed-initial-2026
FIN-100059,ONRD-2019-DEWX-00020,Code-32,Directed Energy,Travel,2019,Q3,202402.85,189552.02,93.7,12850.83,Closed,seed-initial-2026
FIN-100060,ONRD-2019-DEWX-00020,Code-32,Directed Energy,Facilities,2019,Q1,517085.98,509864.84,98.6,7221.14,Closed,seed-initial-2026
FIN-100061,ONRD-2019-USEA-00021,Code-34,Undersea,Equipment,2019,Q2,130668.12,118323.08,90.6,12345.04,Closed,seed-initial-2026
FIN-100062,ONRD-2019-USEA-00021,Code-34,Undersea,Training,2019,Q2,273234.42,217468.32,79.6,55766.1,Closed,seed-initial-2026
FIN-100063,ONRD-2019-USEA-00021,Code-34,Undersea,Training,2019,Q2,182097.46,172133.61,94.5,9963.85,Closed,seed-initial-2026
