grant_no,title,abstract,program_area,fiscal_year,amount_usd,awardee,org_unit,classification_band,batch_id,created_at
ONRD-2019-USEA-00001,Phase III: Passive Acoustic Signal Processing for Anti-submarine Warfare (ASW) Sensor Networks,"This effort develops passive acoustic signal processing to address persistent depth-rated housings-driven challenges in anti-submarine warfare (ASW) sensor networks. The performer will design, implement, and evaluate a prototype capability, validating performance against acoustic signature reduction-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in endurance and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is bathymetric uncertainty; the performer will mitigate this through early prototyping and government checkpoint reviews.",Undersea,2019,690000,Silverline State University,ONR-Corporate,CUI-Mock,seed-initial-2026,2019-06-04T11:30:34+00:00
ONRD-2019-BIOT-00002,Biomarker-based Fatigue Detection for Biofilm-resistant Hull Coatings,"This effort develops biomarker-based fatigue detection to address persistent physiological baseline-driven challenges in biofilm-resistant hull coatings. Research activities include algorithm development, human performance physiological modeling integration, and iterative field evaluation to quantify gains in assay sensitivity. Expected outcomes include a measurable improvement in assay sensitivity and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is field ruggedization; the performer will mitigate this through early prototyping and government checkpoint reviews.",Biotech,2019,954000,Cobalt Analytics Inc.,ONR-Corporate,Public-Mock,seed-initial-2026,2019-07-31T07:45:27+00:00
ONRD-2019-AIML-00003,Adaptive Self-supervised Representation Learning for Natural-language Mission Planning,"This effort develops self-supervised representation learning to address persistent model drift-driven challenges in natural-language mission planning. Research activities include algorithm development, federated learning integration, and iterative field evaluation to quantify gains in inference latency. Expected outcomes include a measurable improvement in inference latency and a documented transition path informed by operational stakeholder feedback.",AI/ML,2019,405000,Summit Applied Research LLC,Code-34,CUI-Mock,seed-initial-2026,2019-03-09T12:58:36+00:00
ONRD-2019-MATL-00004,Adaptive Corrosion-resistant Coating Development for Lightweight Airframe Structures,"This effort develops corrosion-resistant coating development to address persistent fatigue life-driven challenges in lightweight airframe structures. Research activities include algorithm development, self-healing polymer synthesis integration, and iterative field evaluation to quantify gains in thermal tolerance. Expected outcomes include a measurable improvement in thermal tolerance and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is specific strength; the performer will mitigate this through early prototyping and government checkpoint reviews.",Materials,2019,140000,Copperline Analytics Inc.,Code-31,CUI-Mock,seed-initial-2026,2019-02-13T09:19:51+00:00
ONRD-2019-AIML-00005,Advancing Bayesian uncertainty quantification to Improve adversarial threat classification,"This effort develops Bayesian uncertainty quantification to address persistent edge deployment-driven challenges in adversarial threat classification. The performer will design, implement, and evaluate a prototype capability, validating performance against trust calibration-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in false-alarm rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include latency and constrained trust calibration, which will be tracked via quarterly milestone reviews.",AI/ML,2019,1008000,Foxglove Polytechnic University,Code-35,CUI-Mock,seed-initial-2026,2019-09-04T09:24:14+00:00
ONRD-2019-AUTO-00006,Modular Distributed Task Allocation for Contested-environment Navigation,"This effort develops distributed task allocation to address persistent swarm resilience-driven challenges in contested-environment navigation. The performer will design, implement, and evaluate a prototype capability, validating performance against autonomy assurance-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in navigation drift and a documented transition path informed by operational stakeholder feedback. Key technical risks include autonomy assurance and constrained onboard compute limits, which will be tracked via quarterly milestone reviews.",Autonomy,2019,543000,Wraith College of Engineering,Code-32,CUI-Mock,seed-initial-2026,2019-04-18T12:02:44+00:00
ONRD-2019-AIML-00007,Field-Deployable Human-machine Teaming Policy Optimization for Command-and-control Decision Support,This effort develops human-machine teaming policy optimization to address persistent trust calibration-driven challenges in command-and-control decision support. The team will conduct a phased study combining graph neural network reasoning with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in classification accuracy and a documented transition path informed by operational stakeholder feedback.,AI/ML,2019,319000,Stonebridge Advanced Systems Group,Code-31,CUI-Mock,seed-initial-2026,2019-09-08T11:39:58+00:00
ONRD-2019-AUTO-00008,Phase I: Behavior-tree Mission Planning for Contested-environment Navigation,"This effort develops behavior-tree mission planning to address persistent degraded communications-driven challenges in contested-environment navigation. The performer will design, implement, and evaluate a prototype capability, validating performance against onboard compute limits-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in time-to-reroute and a documented transition path informed by operational stakeholder feedback.",Autonomy,2019,1882000,Duskwater State University,Code-35,CUI-Mock,seed-initial-2026,2019-06-15T12:19:13+00:00
ONRD-2019-DEWX-00009,Next-Generation Approaches to Counter-unmanned Aerial System (C-UAS) Engagement via Thermal Management for Solid-state Lasers,This effort develops thermal management for solid-state lasers to address persistent thermal blooming-driven challenges in counter-unmanned aerial system (C-UAS) engagement. The team will conduct a phased study combining pulsed-power system integration with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in duty cycle and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is beam quality; the performer will mitigate this through early prototyping and government checkpoint reviews.,Directed Energy,2019,104000,Northgate Analytics Inc.,Code-30,CUI-Mock,seed-initial-2026,2019-07-19T14:41:01+00:00
ONRD-2019-CYBR-00010,Phase II: Supply-chain Firmware Attestation for Tactical Edge Cyber Resilience,"This effort develops supply-chain firmware attestation to address persistent zero-day exposure-driven challenges in tactical edge cyber resilience. Research activities include algorithm development, adversarial machine-learning defense integration, and iterative field evaluation to quantify gains in mean time to detect. Expected outcomes include a measurable improvement in mean time to detect and a documented transition path informed by operational stakeholder feedback.",Cyber,2019,3716000,Harborlight Advanced Systems Group,Code-34,CUI-Mock,seed-initial-2026,2019-09-02T08:17:10+00:00
ONRD-2019-MATL-00011,Low-Latency Approaches to Thermal-protection Systems for Hypersonic Platforms via Corrosion-resistant Coating Development,"This effort develops corrosion-resistant coating development to address persistent corrosion rate-driven challenges in thermal-protection systems for hypersonic platforms. The team will conduct a phased study combining composite laminate fatigue characterization with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in thermal tolerance and a documented transition path informed by operational stakeholder feedback. Key technical risks include fatigue life and constrained corrosion rate, which will be tracked via quarterly milestone reviews.",Materials,2019,2996000,Cinderpoint Advanced Systems Group,Code-31,CUI-Mock,seed-initial-2026,2019-08-04T09:21:47+00:00
ONRD-2019-QNTM-00012,Scalable Approaches to Gravimetric Anomaly Detection via Quantum Key Distribution Protocol Design,"This effort develops quantum key distribution protocol design to address persistent cryogenic control electronics-driven challenges in gravimetric anomaly detection. The team will conduct a phased study combining quantum-secure communications with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in coherence time and a documented transition path informed by operational stakeholder feedback. Key technical risks include qubit fidelity and constrained decoherence, which will be tracked via quarterly milestone reviews.",Quantum,2019,1372000,Ironclad State University,Code-32,CUI-Mock,seed-initial-2026,2019-06-30T13:14:19+00:00
ONRD-2019-BIOT-00013,Synthetic Biology Pathway Engineering for Cold-chain-free Vaccine Stabilization,"This effort develops synthetic biology pathway engineering to address persistent field ruggedization-driven challenges in cold-chain-free vaccine stabilization. Research activities include algorithm development, human performance physiological modeling integration, and iterative field evaluation to quantify gains in diagnostic turnaround time. Expected outcomes include a measurable improvement in diagnostic turnaround time and a documented transition path informed by operational stakeholder feedback. Key technical risks include field ruggedization and constrained physiological baseline, which will be tracked via quarterly milestone reviews.",Biotech,2019,164000,Windrose Institute of Technology,Code-34,CUI-Mock,seed-initial-2026,2018-10-16T08:14:44+00:00
